state,transaction_year,quater,transaction_places,transaction_count,transaction_amount
madhya-pradesh,2023,2,ujjain district,30837675,46609017169
madhya-pradesh,2023,2,bhind district,9363112,16700023853
madhya-pradesh,2023,2,tikamgarh district,5829261,7630069079
madhya-pradesh,2023,2,seoni district,10810911,17006571666
madhya-pradesh,2023,2,harda district,4972958,8831497569
madhya-pradesh,2023,2,burhanpur district,6429644,9294831065
madhya-pradesh,2023,2,damoh district,6240346,10076429047
madhya-pradesh,2023,2,bhopal district,101329806,112080830923
madhya-pradesh,2023,2,jhabua district,4953992,8100602241
madhya-pradesh,2023,2,dhar district,26679875,36996250233
madhya-pradesh,2023,2,guna district,12090512,18248026141
madhya-pradesh,2023,2,east nimar district,11954422,16128137001
madhya-pradesh,2023,2,chhindwara district,20020454,28324665903
madhya-pradesh,2023,2,umaria district,4062198,5326154622
madhya-pradesh,2023,2,mandla district,5342369,8075464610
madhya-pradesh,2023,2,indore district,142167846,167783471243
madhya-pradesh,2023,2,shahdol district,9769820,13105756249
madhya-pradesh,2023,2,ratlam district,15441252,25581072044
madhya-pradesh,2023,2,panna district,4978175,8158604151
madhya-pradesh,2023,2,chhatarpur district,11501905,17514926481
madhya-pradesh,2020,3,morena district,1099715,2513158393
madhya-pradesh,2020,3,alirajpur district,161857,315733167
madhya-pradesh,2020,3,sehore district,2512141,4197137117
madhya-pradesh,2020,3,rajgarh district,1602252,3377561392
madhya-pradesh,2020,3,khargone district,1565121,3022308238
madhya-pradesh,2020,3,satna district,1679598,2978185557
madhya-pradesh,2020,3,narsinghpur district,1085273,1966793014
madhya-pradesh,2020,3,jabalpur district,3568035,6733555697
madhya-pradesh,2020,3,hoshangabad district,1307021,2338006892
madhya-pradesh,2020,3,vidisha district,1426125,2699925269
madhya-pradesh,2020,3,balaghat district,1530617,2772263232
madhya-pradesh,2020,3,singrauli district,1641125,3159908500
madhya-pradesh,2020,3,betul district,1615774,2736945398
madhya-pradesh,2020,3,sidhi district,746341,1582656775
madhya-pradesh,2020,3,datia district,436118,971355519
madhya-pradesh,2020,3,dewas district,2498225,4394184455
madhya-pradesh,2020,3,sheopur district,310991,657392233
